Rabbits,Grass
1,150
1,199
1,199
1,248
1,297
1,347
1,447
1,496
1,496
1,592
1,592
1,688
1,738
1,738
1,786
1,835
1,933
1,933
1,981
1,1075
1,1120
1,1120
1,1217
1,1266
1,1314
1,1360
1,1405
1,1405
1,1499
1,1546
1,1546
1,1591
1,1635
1,1732
1,1782
1,1782
1,1873
1,1873
1,1922
1,1972
1,2019
1,2064
1,2113
1,2208
1,2208
1,2257
1,2306
1,2350
1,2395
1,2487
1,2532
1,2532
1,2580
1,2669
1,2669
1,2752
1,2752
1,2835
1,2883
1,2883
1,2925
1,3004
1,3004
1,3042
1,3084
1,3130
1,3177
1,3225
1,3322
1,3372
1,3422
1,3471
1,3471
1,3567
1,3567
1,3616
1,3702
1,3702
1,3737
1,3805
1,3849
1,3849
1,3927
4,3965
4,3979
4,3980
4,3980
4,3996
4,3997
4,3997
4,4029
4,4029
4,4083
4,4083
4,4096
4,4121
4,4134
4,4134
4,4143
4,4151
4,4151
4,4163
4,4163
4,4202
4,4216
4,4233
4,4233
9,4272
9,4272
9,4228
11,4151
11,4109
11,4109
16,3985
16,3985
16,3908
16,3689
16,3689
16,3613
16,3516
16,3408
16,3296
16,3296
18,3168
18,3168
18,3102
18,2898
18,2831
18,2831
18,2748
18,2648
18,2648
22,2498
22,2498
27,2373
27,2206
28,2088
28,2088
28,1928
36,1815
36,1815
36,1685
36,1462
36,1400
36,1303
36,1168
36,1168
41,1028
41,965
41,965
44,949
49,890
49,866
49,868
49,838
49,838
49,755
49,734
49,663
49,609
49,609
49,605
49,570
49,575
49,575
49,549
49,549
49,545
49,545
49,519
49,516
49,522
49,485
49,485
49,494
49,486
49,489
49,489
49,483
49,485
49,485
49,451
49,453
49,459
49,449
49,449
49,469
49,469
49,466
49,467
49,455
49,457
49,463
49,463
49,473
49,465
49,465
49,464
49,471
49,471
49,479
49,483
49,475
49,475
49,449
49,446
49,446
49,420
49,432
49,444
49,444
49,435
49,435
49,449
49,452
49,452
49,466
49,466
49,484
49,484
49,475
49,475
49,459
49,459
49,436
49,425
49,443
49,450
49,450
49,452
49,460
49,465
49,465
49,468
49,467
49,467
49,491
49,494
49,494
49,491
49,491
49,487
49,477
49,486
49,486
49,480
49,493
49,502
49,483
49,502
49,502
49,500
49,520
49,520
52,481
52,468
52,468
52,464
52,465
52,407
52,414
52,410
52,410
52,405
52,405
52,426
52,426
52,412
52,405
52,403
52,404
52,404
52,418
52,437
52,437
52,432
52,436
52,453
52,467
52,467
52,468
52,439
52,453
52,453
52,438
52,429
52,428
52,428
52,422
52,423
52,428
52,432
52,459
52,459
52,476
52,452
52,452
52,444
52,456
52,456
52,452
52,452
52,428
52,428
52,418
52,435
52,444
52,444
52,459
52,459
55,442
55,443
55,431
55,430
55,438
55,432
55,439
55,426
55,426
55,429
55,429
55,400
55,400
55,399
55,415
55,415
55,396
55,391
55,389
55,400
55,388
55,388
55,399
55,408
55,421
55,431
55,431
55,434
55,446
55,446
55,430
