Rabbits,Grass
2,109
2,119
2,119
2,128
2,138
2,147
2,165
2,174
2,174
2,193
2,193
2,211
2,220
2,220
2,230
2,239
2,256
2,256
2,263
2,281
2,290
2,290
2,308
2,317
2,327
2,336
2,346
2,346
2,366
2,375
2,375
2,382
2,391
2,406
2,414
2,414
2,431
2,431
2,440
2,448
2,456
2,466
2,475
2,486
2,486
2,495
2,503
2,510
2,519
2,531
2,538
2,538
2,544
2,555
2,555
2,570
2,570
2,585
2,590
2,590
2,599
2,615
2,615
2,624
2,633
2,638
2,645
2,653
2,667
2,674
2,678
2,683
2,683
2,693
2,693
2,701
2,713
2,713
2,716
2,732
2,741
2,741
2,756
2,765
2,773
2,781
2,781
2,797
2,806
2,806
2,819
2,819
2,831
2,831
2,836
2,849
2,855
2,855
2,859
2,874
2,874
2,891
2,891
2,897
2,903
2,906
2,906
2,912
2,912
2,918
2,933
2,937
2,937
2,944
2,944
2,954
2,972
2,972
2,979
2,989
2,999
2,1018
2,1018
2,1038
2,1038
2,1048
2,1064
2,1071
2,1071
2,1080
2,1097
2,1097
2,1106
2,1106
2,1113
2,1126
2,1135
2,1135
2,1148
2,1153
2,1153
2,1163
2,1170
2,1174
2,1180
2,1198
2,1198
2,1215
2,1224
2,1224
2,1234
2,1252
2,1257
2,1261
2,1269
2,1269
2,1275
2,1284
2,1294
2,1296
2,1296
2,1299
2,1312
2,1321
2,1321
2,1333
2,1333
2,1342
2,1342
2,1350
2,1358
2,1365
2,1375
2,1375
2,1384
2,1393
2,1402
2,1402
2,1409
2,1418
2,1421
2,1429
2,1434
2,1440
2,1445
2,1445
2,1457
2,1457
2,1464
2,1471
2,1476
2,1484
2,1490
2,1499
2,1505
2,1513
2,1513
2,1524
2,1524
2,1524
2,1526
2,1539
2,1545
2,1545
2,1545
2,1553
2,1553
2,1557
2,1565
2,1570
2,1570
2,1577
2,1577
2,1586
2,1592
2,1592
2,1595
2,1595
2,1614
2,1614
2,1631
2,1631
2,1651
2,1651
2,1667
2,1676
2,1685
2,1694
2,1694
2,1711
2,1719
2,1729
2,1729
2,1748
2,1757
2,1757
2,1776
2,1785
2,1785
2,1801
2,1801
2,1809
2,1812
2,1823
2,1823
2,1832
2,1831
2,1826
2,1825
2,1827
2,1827
2,1826
2,1837
2,1837
2,1848
2,1852
2,1852
2,1855
2,1853
2,1858
2,1856
2,1862
2,1862
2,1872
2,1872
2,1881
2,1881
2,1891
2,1896
2,1900
2,1902
2,1902
2,1906
2,1909
2,1909
2,1912
2,1910
2,1917
4,1915
4,1915
4,1896
4,1861
4,1849
4,1849
4,1841
4,1808
4,1805
4,1805
4,1808
4,1796
4,1781
4,1774
4,1782
4,1782
4,1782
4,1792
4,1792
4,1797
4,1800
4,1800
4,1801
4,1801
4,1815
4,1815
4,1824
4,1826
4,1821
4,1821
4,1806
4,1806
5,1794
5,1784
5,1774
14,1759
14,1709
14,1690
14,1655
14,1639
14,1639
14,1574
14,1574
14,1547
14,1547
14,1517
14,1450
14,1450
14,1397
14,1358
14,1329
14,1300
14,1206
14,1206
14,1176
14,1142
14,1107
14,1076
14,1076
14,1006
14,957
14,957
14,908
14,908
14,911
14,892
14,868
14,830
14,830
14,822
14,817
14,804
14,785
14,751
14,751
14,722
14,711
14,706
14,706
14,716
14,716
14,713
14,717
14,717
14,726
14,724
14,722
14,727
14,713
14,711
14,711
14,698
14,695
14,695
14,700
14,663
14,663
14,628
14,597
14,569
14,563
14,542
14,539
14,535
14,535
14,522
14,500
14,481
14,478
14,477
14,477
14,470
14,470
14,465
14,465
14,464
14,464
14,463
14,442
14,442
14,430
14,428
14,428
14,429
14,429
14,418
14,410
14,411
14,415
14,415
14,420
14,420
14,418
14,422
14,422
14,419
14,419
14,423
14,424
14,432
14,422
14,429
14,429
14,429
14,420
14,423
14,423
14,423
14,429
14,428
14,428
14,434
14,439
14,427
14,427
14,435
14,439
14,440
14,440
14,440
14,434
14,434
14,433
14,428
14,410
14,398
14,398
14,406
14,403
14,399
14,399
14,396
14,382
14,388
14,388
14,390
14,394
14,389
14,390
14,390
14,386
14,379
14,382
14,382
14,378
14,387
14,385
14,388
14,375
14,375
14,381
14,389
14,389
14,393
14,396
14,396
14,392
14,392
14,391
14,394
14,388
14,390
14,385
14,385
14,393
14,394
14,391
14,391
14,386
14,384
14,384
14,384
14,377
14,372
14,379
14,381
14,387
14,387
14,388
14,385
14,390
14,384
14,382
14,382
14,375
14,372
14,369
14,369
14,361
14,367
14,367
14,364
14,360
14,360
14,364
14,362
14,356
14,363
14,358
14,358
14,348
14,346
14,346
14,341
14,341
14,340
14,342
14,342
14,340
14,340
14,341
14,347
14,347
14,350
14,357
14,363
14,362
14,366
14,369
14,369
14,369
14,375
14,374
14,380
14,387
14,383
14,374
14,374
14,377
14,377
14,369
14,369
14,378
14,378
14,381
14,381
14,387
14,388
14,396
14,396
14,399
14,395
14,393
14,397
14,397
14,394
14,394
14,396
14,399
14,399
14,389
14,389
14,396
14,396
14,395
14,395
14,403
14,401
14,401
14,407
14,407
14,394
14,394
14,382
14,378
14,378
14,364
14,365
14,365
14,370
14,367
14,365
14,365
14,360
14,358
14,346
14,346
14,346
14,351
14,351
14,347
14,347
14,351
14,353
14,353
14,343
14,343
14,345
14,346
14,346
14,350
14,354
14,354
14,356
14,355
14,355
14,360
14,372
14,372
14,377
14,381
14,387
14,393
14,393
14,393
14,393
14,393
14,383
14,374
14,373
14,373
14,360
14,363
14,364
14,368
14,370
14,371
14,369
14,359
14,359
14,364
14,364
14,368
14,373
14,372
14,372
14,371
14,371
14,371
14,358
14,360
14,369
14,369
14,376
14,376
14,376
14,382
14,386
14,382
14,382
14,387
14,387
14,383
14,383
14,381
14,384
14,384
14,389
14,395
14,397
14,397
