Rabbits,Grass
2,110
2,119
2,119
2,129
2,139
2,149
2,169
2,178
2,178
2,198
2,198
2,218
2,228
2,228
2,237
2,247
2,267
2,267
2,277
2,297
2,307
2,307
2,327
2,337
2,347
2,357
2,367
2,367
2,387
2,397
2,397
2,407
2,417
2,436
2,446
2,446
2,466
2,466
2,475
2,485
2,495
2,503
2,512
2,530
2,530
2,540
2,550
2,560
2,570
2,590
2,600
2,600
2,610
2,630
2,630
2,648
2,648
2,668
2,677
2,677
2,687
2,705
2,705
2,715
2,725
2,735
2,745
2,755
2,771
2,781
2,790
2,799
2,799
2,819
2,819
2,826
2,846
2,846
2,855
2,874
2,883
2,883
2,902
2,912
2,922
2,932
2,932
2,949
2,958
2,958
2,978
2,978
2,998
2,998
2,1007
2,1025
2,1035
2,1035
2,1045
2,1064
2,1064
2,1084
2,1084
2,1104
2,1112
2,1122
2,1122
2,1140
2,1140
2,1148
2,1166
2,1176
2,1176
2,1195
2,1195
2,1205
2,1222
2,1222
2,1232
2,1242
2,1251
2,1270
2,1270
2,1289
2,1289
2,1299
2,1317
2,1327
2,1327
2,1337
2,1355
2,1355
2,1372
2,1372
2,1382
2,1401
2,1410
2,1410
2,1425
2,1435
2,1435
2,1444
2,1453
2,1463
2,1473
2,1493
2,1493
2,1512
2,1521
2,1521
2,1531
2,1551
2,1561
2,1571
2,1581
2,1581
2,1591
2,1599
2,1619
2,1629
2,1629
2,1637
2,1656
2,1666
2,1666
2,1685
2,1685
2,1703
2,1703
2,1722
2,1732
2,1742
2,1750
2,1750
2,1759
2,1769
2,1787
2,1787
2,1797
2,1813
2,1823
2,1833
2,1843
2,1852
2,1861
2,1861
2,1877
2,1877
2,1886
2,1896
2,1906
2,1921
2,1929
2,1938
2,1946
2,1954
2,1954
2,1972
2,1981
2,1981
2,1991
2,2010
2,2020
2,2020
2,2029
2,2046
2,2046
2,2063
2,2068
2,2076
2,2076
2,2093
2,2093
2,2110
2,2118
2,2118
2,2135
2,2135
2,2153
2,2153
2,2173
2,2173
2,2189
2,2189
2,2207
2,2214
2,2223
2,2230
2,2230
2,2246
2,2254
2,2263
2,2263
2,2280
2,2288
2,2288
2,2304
2,2311
2,2311
2,2327
2,2327
2,2336
2,2342
2,2360
2,2360
2,2367
2,2372
2,2388
2,2398
2,2406
2,2406
2,2415
2,2429
2,2429
2,2441
2,2448
2,2448
2,2456
2,2463
2,2476
2,2485
2,2494
2,2494
2,2513
2,2513
2,2530
2,2530
2,2546
2,2554
2,2561
2,2570
2,2570
2,2576
2,2593
2,2593
2,2601
2,2611
2,2621
2,2640
2,2640
2,2648
2,2667
2,2677
2,2677
2,2686
2,2706
2,2714
2,2714
2,2723
2,2732
2,2741
2,2750
2,2763
2,2763
2,2777
2,2786
2,2786
2,2801
2,2809
2,2809
2,2822
2,2822
2,2834
2,2834
2,2844
2,2852
2,2868
2,2868
2,2888
2,2888
2,2897
2,2917
2,2927
2,2937
2,2946
2,2955
2,2964
2,2974
2,2974
2,2988
2,2988
2,3002
2,3002
2,3009
2,3023
2,3023
2,3029
2,3039
2,3049
2,3059
2,3079
2,3079
2,3089
2,3094
2,3105
2,3114
2,3114
2,3131
2,3136
2,3136
2,3149
2,3149
2,3156
2,3165
2,3174
2,3190
2,3190
2,3202
2,3209
2,3217
2,3224
2,3231
2,3231
2,3240
2,3256
2,3265
2,3265
2,3275
2,3275
