Rabbits,Grass
20,104
20,109
20,109
20,116
20,117
20,125
20,130
20,136
20,136
20,142
20,142
20,144
20,145
20,145
20,149
20,154
20,157
20,157
20,155
20,156
20,158
20,158
20,160
20,166
20,168
20,171
20,173
20,173
20,171
20,170
20,170
20,175
20,181
20,184
20,179
20,179
20,179
20,179
20,183
20,183
20,189
20,191
20,195
20,204
20,204
20,207
20,208
20,206
20,210
20,215
20,224
20,224
20,229
20,233
20,233
20,233
20,233
20,229
20,226
20,226
20,229
20,235
20,235
20,235
20,234
20,236
20,230
20,233
20,230
20,227
20,229
20,231
20,231
20,229
20,229
20,230
20,230
20,230
20,231
20,222
20,221
20,221
20,229
20,229
20,235
20,232
20,232
20,239
20,243
20,243
20,250
20,250
20,252
20,252
20,249
20,252
20,248
20,248
20,248
20,236
20,236
20,227
20,227
20,214
20,214
20,214
20,214
20,217
20,217
20,213
20,225
20,225
20,225
20,228
20,228
20,232
20,225
20,225
20,223
20,229
20,232
20,243
20,243
20,254
20,254
20,257
20,252
20,255
20,255
20,256
20,249
20,249
20,246
20,246
20,242
20,248
20,250
20,250
20,245
20,243
20,243
20,243
20,238
20,244
20,245
20,247
20,247
20,250
20,248
20,248
20,249
20,255
20,261
20,259
20,257
20,257
20,261
20,264
20,260
20,261
20,261
20,260
20,250
20,247
20,247
20,247
20,247
20,236
20,236
20,221
20,220
20,225
20,228
20,228
20,233
20,228
20,231
20,231
20,230
20,237
20,239
20,239
20,240
20,235
20,234
20,234
20,233
20,233
20,234
20,238
20,239
20,231
20,227
20,230
20,235
20,237
20,237
20,239
20,244
20,244
20,245
20,237
20,236
20,236
20,240
20,246
20,246
20,249
20,253
20,256
20,256
20,256
20,256
20,248
20,256
20,256
20,249
20,249
20,243
20,243
20,241
20,241
20,241
20,241
20,237
20,232
20,232
20,236
20,236
20,234
20,239
20,236
20,236
20,231
20,233
20,233
20,236
20,232
20,232
20,230
20,230
20,229
20,228
20,230
20,230
20,234
20,233
20,225
20,232
20,234
20,234
20,239
20,244
20,244
20,236
20,231
20,231
20,228
20,223
20,224
20,227
20,226
20,226
20,220
20,220
20,219
