Rabbits,Grass
2,110
2,120
2,120
2,129
2,139
2,148
2,168
2,177
2,177
2,194
2,194
2,212
2,221
2,221
2,230
2,240
2,259
2,259
2,268
2,285
2,290
2,290
2,306
2,316
2,325
2,331
2,340
2,340
2,359
2,368
2,368
2,376
2,383
2,401
2,409
2,409
2,425
2,425
2,434
2,444
2,452
2,458
2,465
2,481
2,481
2,489
2,496
2,503
2,513
2,530
2,538
2,538
2,545
2,563
2,563
2,578
2,578
2,593
2,598
2,598
2,606
2,622
2,622
2,629
2,638
2,646
2,653
2,660
2,678
2,685
2,694
2,704
2,704
2,721
2,721
2,731
2,748
2,748
2,757
2,774
2,778
2,778
2,795
2,805
2,812
2,818
2,818
2,835
2,844
2,844
2,856
2,856
2,862
2,862
2,870
2,884
2,890
2,890
2,895
2,908
2,908
2,913
2,913
2,926
2,932
2,937
2,937
2,945
2,945
2,947
2,955
2,957
2,957
2,964
2,964
2,969
2,973
2,973
2,981
2,989
2,997
2,1010
2,1010
2,1021
2,1021
2,1027
2,1047
2,1055
2,1055
2,1060
2,1074
2,1074
2,1086
2,1086
2,1092
2,1099
2,1102
2,1102
2,1112
2,1116
2,1116
2,1121
2,1122
2,1125
2,1132
2,1147
2,1147
2,1152
2,1156
2,1156
2,1156
2,1167
2,1174
2,1183
2,1192
2,1192
2,1200
2,1207
2,1226
2,1234
2,1234
2,1242
2,1261
2,1263
2,1263
2,1274
2,1274
2,1286
2,1286
2,1302
2,1312
2,1322
2,1332
2,1332
2,1342
2,1351
2,1366
2,1366
2,1367
2,1374
2,1381
2,1388
2,1394
2,1402
2,1408
2,1408
2,1426
2,1426
2,1435
2,1439
2,1443
2,1450
2,1458
2,1467
2,1474
2,1474
2,1474
2,1473
2,1464
2,1464
2,1465
2,1462
2,1460
2,1460
2,1465
2,1477
2,1477
2,1491
2,1501
2,1507
2,1507
2,1524
2,1524
2,1535
2,1538
2,1538
2,1542
2,1542
2,1551
2,1551
2,1562
2,1562
2,1572
2,1572
2,1575
2,1578
2,1573
2,1578
2,1578
2,1573
2,1570
2,1566
2,1566
2,1559
2,1560
2,1560
2,1568
3,1571
3,1571
3,1570
3,1570
3,1567
3,1557
3,1552
3,1552
3,1547
3,1551
3,1551
3,1560
3,1551
3,1551
3,1553
3,1543
3,1543
4,1542
4,1537
4,1537
4,1537
4,1523
4,1498
4,1497
4,1496
4,1496
4,1475
4,1475
4,1441
4,1441
4,1425
4,1426
4,1425
4,1425
4,1425
4,1418
4,1424
4,1424
4,1420
4,1424
4,1429
4,1434
4,1434
4,1432
4,1432
4,1433
4,1433
4,1430
4,1416
4,1406
4,1406
4,1404
4,1395
4,1393
4,1389
4,1377
4,1377
4,1365
4,1363
4,1363
4,1362
4,1364
4,1364
4,1368
4,1368
4,1376
4,1376
4,1373
4,1377
4,1395
4,1395
4,1409
4,1409
4,1418
4,1427
4,1428
4,1435
4,1440
4,1440
4,1437
4,1444
4,1444
4,1442
