Rabbits,Grass
2,110
2,120
2,120
2,129
2,139
2,149
2,168
2,177
2,177
2,195
2,195
2,213
2,222
2,222
2,231
2,241
2,260
2,260
2,269
2,288
2,297
2,297
2,315
2,324
2,331
2,341
2,351
2,351
2,369
2,379
2,379
2,387
2,396
2,411
2,417
2,417
2,433
2,433
2,441
2,449
2,453
2,461
2,464
2,477
2,477
2,487
2,491
2,501
2,510
2,528
2,535
2,535
2,544
2,558
2,558
2,574
2,574
2,592
2,599
2,599
2,604
2,616
2,616
2,623
2,627
2,633
2,640
2,642
2,656
2,664
2,672
2,682
2,682
2,698
2,698
2,705
2,722
2,722
2,732
2,751
2,760
2,760
2,773
2,779
2,782
2,785
2,785
2,798
2,802
2,802
2,810
2,810
2,822
2,822
2,831
2,843
2,849
2,849
2,857
2,863
2,863
2,874
2,874
2,890
2,899
2,909
2,909
2,925
2,925
2,933
2,942
2,947
2,947
2,961
2,961
2,964
2,973
2,973
2,977
2,982
2,984
2,998
2,998
2,1002
2,1002
2,1010
2,1021
2,1028
2,1028
2,1036
2,1050
2,1050
2,1067
2,1067
2,1074
2,1088
2,1098
2,1098
2,1108
2,1114
2,1114
2,1120
2,1124
2,1128
2,1137
2,1154
2,1154
2,1173
2,1183
2,1183
2,1189
2,1207
2,1217
2,1226
2,1233
2,1233
2,1234
2,1235
2,1243
2,1244
2,1244
2,1251
2,1258
2,1262
2,1262
2,1275
2,1275
2,1280
2,1280
2,1285
2,1291
2,1295
2,1296
2,1296
2,1299
2,1305
2,1312
2,1312
2,1317
2,1324
2,1329
2,1331
2,1335
2,1340
2,1348
2,1348
2,1357
2,1357
2,1361
2,1369
2,1371
2,1386
2,1386
2,1390
2,1391
2,1399
2,1399
2,1395
2,1394
2,1394
2,1397
2,1399
2,1401
2,1401
2,1399
2,1415
2,1415
2,1428
2,1430
2,1433
2,1433
2,1443
2,1443
2,1453
2,1459
2,1459
2,1470
2,1470
2,1478
2,1478
2,1495
2,1495
2,1504
2,1504
4,1511
4,1517
4,1522
4,1524
4,1524
4,1520
4,1514
4,1516
4,1516
4,1500
4,1489
4,1489
4,1469
4,1464
4,1464
4,1450
4,1450
4,1448
4,1448
4,1428
4,1428
4,1425
4,1430
4,1440
4,1449
4,1459
4,1459
4,1465
4,1479
4,1479
4,1485
4,1483
4,1483
4,1486
4,1486
4,1486
4,1494
4,1503
4,1503
4,1514
4,1514
4,1517
4,1517
4,1521
4,1517
4,1518
4,1523
4,1523
4,1521
4,1522
4,1522
4,1518
4,1523
4,1523
4,1529
4,1529
4,1532
4,1530
4,1529
4,1529
4,1529
4,1524
4,1534
4,1534
4,1539
4,1542
4,1543
4,1542
4,1536
4,1536
4,1542
4,1537
4,1537
4,1534
4,1539
4,1539
4,1553
4,1553
4,1561
4,1561
4,1557
4,1561
4,1558
4,1558
4,1559
4,1559
4,1558
4,1548
4,1551
4,1556
4,1564
4,1574
4,1581
4,1589
4,1589
4,1591
4,1591
