Rabbits,Grass
2,109
2,119
2,119
2,129
2,138
2,147
2,164
2,173
2,173
2,192
2,192
2,208
2,218
2,218
2,227
2,236
2,254
2,254
2,264
2,280
2,285
2,285
2,300
2,308
2,315
2,324
2,333
2,333
2,348
2,357
2,357
2,367
2,375
2,391
2,399
2,399
2,417
2,417
2,427
2,434
2,441
2,448
2,455
2,467
2,467
2,476
2,484
2,494
2,504
2,523
2,531
2,531
2,539
2,555
2,555
2,569
2,569
2,583
2,593
2,593
2,601
2,620
2,620
2,629
2,639
2,647
2,653
2,662
2,680
2,685
2,693
2,700
2,700
2,713
2,713
2,719
2,729
2,729
2,737
2,754
2,763
2,763
2,778
2,787
2,796
2,805
2,805
2,824
2,834
2,834
2,852
2,852
2,868
2,868
2,877
2,892
2,902
2,902
2,910
2,925
2,925
2,934
2,934
2,943
2,948
2,957
2,957
2,972
2,972
2,980
2,993
2,1001
2,1001
2,1013
2,1013
2,1017
2,1031
2,1031
2,1040
2,1047
2,1053
2,1066
2,1066
2,1082
2,1082
2,1092
2,1107
2,1117
2,1117
2,1126
2,1138
2,1138
2,1146
2,1146
2,1149
2,1155
2,1155
2,1155
2,1165
2,1174
2,1174
2,1177
2,1184
2,1181
2,1184
2,1193
2,1193
2,1197
2,1198
2,1198
2,1201
2,1214
2,1220
2,1229
2,1234
2,1234
2,1241
2,1242
2,1254
2,1263
2,1263
2,1268
2,1286
2,1296
2,1296
2,1315
2,1315
2,1334
2,1334
2,1354
2,1363
2,1373
2,1383
2,1383
2,1391
2,1399
2,1417
2,1417
2,1425
2,1438
2,1443
2,1443
2,1448
2,1451
2,1460
2,1460
2,1475
2,1475
2,1483
2,1489
2,1493
2,1505
2,1511
2,1513
2,1516
2,1521
2,1521
2,1523
2,1527
2,1527
2,1527
2,1537
2,1542
2,1542
2,1548
2,1551
2,1551
2,1565
2,1572
2,1582
2,1582
2,1585
2,1585
2,1595
2,1598
2,1598
2,1608
2,1608
2,1623
2,1623
2,1626
2,1626
2,1618
2,1618
2,1624
2,1629
2,1625
2,1622
2,1622
2,1614
2,1607
2,1610
2,1610
2,1610
2,1614
2,1614
2,1621
2,1628
2,1628
2,1644
2,1644
2,1653
2,1663
2,1682
2,1682
2,1691
2,1701
2,1721
2,1728
2,1735
2,1735
2,1738
2,1745
2,1745
2,1764
2,1769
2,1769
2,1777
2,1787
2,1806
2,1816
2,1823
2,1823
2,1841
2,1841
2,1859
2,1859
2,1879
2,1889
2,1899
2,1908
2,1908
2,1917
2,1936
2,1936
2,1946
2,1956
2,1966
2,1984
2,1984
2,1994
2,2013
2,2023
2,2023
2,2032
2,2052
2,2061
2,2061
2,2071
2,2080
2,2090
2,2100
2,2108
2,2108
2,2116
2,2124
2,2124
2,2132
2,2130
2,2130
2,2140
2,2140
2,2141
2,2141
2,2141
2,2141
2,2144
2,2144
2,2141
2,2141
6,2129
6,2113
6,2104
6,2094
6,2085
6,2062
6,2042
6,2022
6,2022
6,1987
6,1987
6,1916
6,1916
6,1891
23,1763
23,1763
23,1664
23,1569
23,1465
23,1398
23,1254
23,1254
23,1183
23,1101
23,1017
23,950
23,950
23,869
23,805
23,805
23,739
23,739
23,715
23,687
23,662
23,598
23,598
23,549
23,527
23,522
23,498
23,495
23,495
23,476
23,455
23,445
23,445
23,394
23,394
23,362
23,337
23,337
23,314
23,296
23,290
23,294
23,289
23,286
23,286
23,275
23,273
23,273
23,271
23,272
23,272
23,272
23,272
23,269
23,274
23,280
23,285
23,285
23,285
23,289
23,294
23,300
23,297
23,288
23,288
23,291
23,291
23,291
23,291
23,285
23,285
23,290
23,294
23,294
23,282
23,274
23,274
23,266
23,266
23,268
23,264
23,262
23,259
23,259
23,250
23,247
23,234
23,222
23,222
23,214
23,214
23,212
23,199
23,197
23,202
23,207
23,210
23,210
23,200
23,200
23,200
23,196
23,192
23,192
23,192
23,192
23,195
23,191
23,191
23,192
23,194
23,195
23,195
23,196
23,200
23,200
23,199
23,197
23,204
23,205
23,205
23,195
23,195
23,189
23,189
23,190
23,192
23,190
23,190
23,190
23,188
23,191
23,188
23,188
23,192
23,189
23,190
23,190
23,197
23,196
23,196
23,196
23,194
23,194
23,186
23,191
23,191
23,193
23,186
23,186
23,183
23,188
23,185
23,182
23,187
23,186
23,188
23,188
23,190
23,191
23,195
23,195
23,201
23,190
23,180
23,180
23,179
23,183
23,192
23,190
23,195
23,195
23,197
23,201
23,201
23,199
23,200
23,200
23,204
23,203
23,206
23,206
23,205
23,209
23,209
23,213
23,214
23,214
23,213
23,210
23,214
23,215
23,215
23,215
23,205
23,209
23,209
23,213
23,213
23,217
23,205
23,210
23,210
23,213
23,213
23,212
23,212
23,214
23,213
23,213
23,209
23,189
23,189
23,189
23,189
23,190
23,187
23,187
23,188
23,190
23,188
23,188
23,185
23,185
23,185
23,185
23,171
23,171
23,178
23,178
23,182
23,179
23,178
23,178
23,173
23,173
23,167
23,169
23,169
23,169
23,169
23,169
23,167
23,167
23,167
23,167
23,165
23,161
23,163
23,165
23,164
23,161
23,161
23,167
23,167
23,164
23,164
23,162
23,160
23,160
23,157
23,160
23,160
23,161
23,151
23,151
23,151
23,153
23,156
23,154
23,154
23,151
23,156
23,156
23,160
23,160
23,165
23,167
23,167
23,165
23,165
23,161
23,164
23,164
23,166
23,164
23,164
23,156
23,165
23,165
23,167
23,173
23,173
23,169
23,178
23,179
23,178
23,173
23,173
23,169
23,169
23,168
23,174
23,169
23,169
23,172
23,174
23,174
23,176
23,172
23,167
23,170
23,173
23,173
23,170
23,170
23,167
23,166
23,170
23,170
23,161
23,161
23,162
23,162
23,165
23,172
23,172
23,173
23,169
23,169
23,168
23,164
23,166
23,166
23,169
23,169
23,163
23,163
23,172
23,178
23,178
23,183
23,190
23,192
